formula_id,source,vocab_version,token_ids,token_names,decoded_formula,token_len,horizon,valid,invalid_reason,reward,finite_count,coverage,finite_std,scorer_days,scorer_mean_return,scorer_median_return,scorer_hit_rate,scorer_ann_return_proxy,avg_top_k,formula,step,sample_idx
train_000001_000,phase3b_train,phase3a-v1,5 22 13 22 2 5 18 24 16 16 12 20 11 16 20 8,amount RET5 ABS RET5 low amount MA5 DECAY DELAY5 DELAY5 NEG MA20 DIV DELAY5 MA20 ADD,(RET5(ABS(RET5(amount))) ADD MA20(DELAY5((low DIV MA20(NEG(DELAY5(DELAY5(DECAY(MA5(amount)))))))))),16,10,True,,0.00400649400805006,42255,0.9741337575212671,606.1676978322978,2337.0,0.00400649400805006,0.002023457645843496,0.5203252032520326,0.1009636490028615,3.501925545571245,train_000001_000,1,0
train_000001_001,phase3b_train,phase3a-v1,3 17 7 12 23 7 18 19 15 7 1 16 11 9 9 8,close DELAY10 CONST_1 NEG RET10 CONST_1 MA5 MA10 DELAY1 CONST_1 high DELAY5 DIV SUB SUB ADD,(DELAY10(close) ADD (RET10(NEG(CONST_1)) SUB (DELAY1(MA10(MA5(CONST_1))) SUB (CONST_1 DIV DELAY5(high))))),16,10,True,,0.0019325972304858746,43195,0.9958042280471218,1.174348685423915,2337.0,0.0019325972304858746,0.002777777777777768,0.5340179717586649,0.04870145020824404,3.501925545571245,train_000001_001,1,1
train_000001_002,phase3b_train,phase3a-v1,5 3 11 1 23 0 21 13 0 20 24 14 9 19 8 11,amount close DIV high RET10 open STD10 ABS open MA20 DECAY SIGN SUB MA10 ADD DIV,((amount DIV close) DIV (RET10(high) ADD MA10((ABS(STD10(open)) SUB SIGN(DECAY(MA20(open))))))),16,10,True,,0.0037886932401917785,42807,0.9868593955321945,1270224073.824841,2337.0,0.0037886932401917785,0.005604235122307418,0.5631151048352588,0.09547506965283283,3.501925545571245,train_000001_002,1,2
train_000001_003,phase3b_train,phase3a-v1,5 4 8 4 2 15 22 17 13 5 1 9 20 8 10 9,amount volume ADD volume low DELAY1 RET5 DELAY10 ABS amount high SUB MA20 ADD MUL SUB,((amount ADD volume) SUB (volume MUL (ABS(DELAY10(RET5(DELAY1(low)))) ADD MA20((amount SUB high))))),16,10,True,,0.004186912201085326,43016,0.9916776171703898,4.144223059365466e+16,2337.0,0.004186912201085326,0.00565323999374015,0.5656824989302525,0.10551018746735022,3.501925545571245,train_000001_003,1,3
train_000001_004,phase3b_train,phase3a-v1,5 5 14 20 15 24 18 1 10 5 13 0 10 13 9 9,amount amount SIGN MA20 DELAY1 DECAY MA5 high MUL amount ABS open MUL ABS SUB SUB,(amount SUB ((MA5(DECAY(DELAY1(MA20(SIGN(amount))))) MUL high) SUB ABS((ABS(amount) MUL open)))),16,10,True,,0.005592855601691344,42883,0.9886114761279019,6953670786.63922,2337.0,0.005592855601691344,0.002989845405142716,0.5327342747111682,0.14093996116262186,3.501925545571245,train_000001_004,1,4
train_000001_005,phase3b_train,phase3a-v1,2 20 17 20 17 19 14 15 18 4 18 20 24 12 18 10,low MA20 DELAY10 MA20 DELAY10 MA10 SIGN DELAY1 MA5 volume MA5 MA20 DECAY NEG MA5 MUL,(MA5(DELAY1(SIGN(MA10(DELAY10(MA20(DELAY10(MA20(low)))))))) MUL MA5(NEG(DECAY(MA20(MA5(volume)))))),16,10,True,,0.003483468593788021,42009,0.9684625492772667,6682210.616882156,2337.0,0.003483468593788021,0.005752468211364807,0.5648267008985879,0.08778340856345813,3.501925545571245,train_000001_005,1,5
train_000001_006,phase3b_train,phase3a-v1,7 6 20 18 4 6 9 4 2 21 13 8 15 8 8 10,CONST_1 CONST_0 MA20 MA5 volume CONST_0 SUB volume low STD10 ABS ADD DELAY1 ADD ADD MUL,(CONST_1 MUL (MA5(MA20(CONST_0)) ADD ((volume SUB CONST_0) ADD DELAY1((volume ADD ABS(STD10(low))))))),16,10,True,,0.005211300290832011,43161,0.9950204025174632,14592715.88992894,2337.0,0.005211300290832011,0.0009708798126310351,0.5139067180145486,0.13132476732896667,3.501925545571245,train_000001_006,1,6
train_000001_007,phase3b_train,phase3a-v1,6 23 5 15 22 5 6 14 19 7 20 21 10 10 8 11,CONST_0 RET10 amount DELAY1 RET5 amount CONST_0 SIGN MA10 CONST_1 MA20 STD10 MUL MUL ADD DIV,(RET10(CONST_0) DIV (RET5(DELAY1(amount)) ADD (amount MUL (MA10(SIGN(CONST_0)) MUL STD10(MA20(CONST_1)))))),16,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,,1,7
train_000001_008,phase3b_train,phase3a-v1,1 6 15 20 17 12 22 1 17 20 20 11 4 19 9 10,high CONST_0 DELAY1 MA20 DELAY10 NEG RET5 high DELAY10 MA20 MA20 DIV volume MA10 SUB MUL,(high MUL ((RET5(NEG(DELAY10(MA20(DELAY1(CONST_0))))) DIV MA20(MA20(DELAY10(high)))) SUB MA10(volume))),16,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,,1,8
train_000001_009,phase3b_train,phase3a-v1,3 17 15 18 2 23 21 7 5 15 20 24 15 9 8 11,close DELAY10 DELAY1 MA5 low RET10 STD10 CONST_1 amount DELAY1 MA20 DECAY DELAY1 SUB ADD DIV,(MA5(DELAY1(DELAY10(close))) DIV (STD10(RET10(low)) ADD (CONST_1 SUB DELAY1(DECAY(MA20(DELAY1(amount))))))),16,10,True,,0.004962505366257868,42940,0.9899255365746824,1.5656182653808423e-06,2337.0,0.004962505366257868,0.0011546300440127277,0.5173299101412067,0.12505513522969827,3.501925545571245,train_000001_009,1,9
train_000001_010,phase3b_train,phase3a-v1,0 17 5 6 0 6 23 23 1 12 23 10 8 8 10 10,open DELAY10 amount CONST_0 open CONST_0 RET10 RET10 high NEG RET10 MUL ADD ADD MUL MUL,(DELAY10(open) MUL (amount MUL (CONST_0 ADD (open ADD (RET10(RET10(CONST_0)) MUL RET10(NEG(high))))))),16,10,False,non_finite_result,-5.0,0,0.0,,,,,,,,,1,10
train_000001_011,phase3b_train,phase3a-v1,0 5 14 16 13 22 6 8 4 10 13 9 4 4 11 10,open amount SIGN DELAY5 ABS RET5 CONST_0 ADD volume MUL ABS SUB volume volume DIV MUL,((open SUB ABS(((RET5(ABS(DELAY5(SIGN(amount)))) ADD CONST_0) MUL volume))) MUL (volume DIV volume)),16,10,True,,0.0013019329018444205,43193,0.9957581206630242,42789.32832790867,2337.0,0.0013019329018444205,0.002523151970789478,0.5305947796320069,0.032808709126479395,3.501925545571245,train_000001_011,1,11
train_000001_012,phase3b_train,phase3a-v1,3 18 12 6 0 3 23 16 13 23 23 5 8 11 8 8,close MA5 NEG CONST_0 open close RET10 DELAY5 ABS RET10 RET10 amount ADD DIV ADD ADD,(NEG(MA5(close)) ADD (CONST_0 ADD (open DIV (RET10(RET10(ABS(DELAY5(RET10(close))))) ADD amount)))),16,10,True,,0.005178770489367282,37125,0.8558683173110173,1.5123117740365795,2337.0,0.005178770489367282,0.0026747049402940093,0.5258878904578519,0.13050501633205552,3.501925545571245,train_000001_012,1,12
train_000001_013,phase3b_train,phase3a-v1,3 5 19 12 12 9,close amount MA10 NEG NEG SUB,(close SUB NEG(NEG(MA10(amount)))),6,10,True,,0.0035384249301490507,43206,0.9960578186596584,1308567944.2121108,2337.0,0.0035384249301490507,0.004103400746673147,0.5477107402652974,0.08916830823975608,3.501925545571245,train_000001_013,1,13
train_000001_014,phase3b_train,phase3a-v1,6 15 6 20 1 10 15 17 0 5 6 12 8 10 9 8,CONST_0 DELAY1 CONST_0 MA20 high MUL DELAY1 DELAY10 open amount CONST_0 NEG ADD MUL SUB ADD,(DELAY1(CONST_0) ADD (DELAY10(DELAY1((MA20(CONST_0) MUL high))) SUB (open MUL (amount ADD NEG(CONST_0))))),16,10,True,,0.005678063080934493,43150,0.9947668119049266,5648861472.654182,2337.0,0.005678063080934493,0.004882114999272741,0.5477107402652974,0.14308718963954922,3.501925545571245,train_000001_014,1,14
train_000001_015,phase3b_train,phase3a-v1,3 23 7 14 15 24 21 13 24 7 18 17 20 13 8 10,close RET10 CONST_1 SIGN DELAY1 DECAY STD10 ABS DECAY CONST_1 MA5 DELAY10 MA20 ABS ADD MUL,(RET10(close) MUL (DECAY(ABS(STD10(DECAY(DELAY1(SIGN(CONST_1)))))) ADD ABS(MA20(DELAY10(MA5(CONST_1)))))),16,10,True,,0.00561005834449809,43159,0.9949742951333657,0.08666596315952342,2337.0,0.00561005834449809,0.0031238526397171507,0.5327342747111682,0.1413734702813519,3.501925545571245,train_000001_015,1,15
train_000001_016,phase3b_train,phase3a-v1,0 22 14 23 17 2 4 12 10 10 13 17 7 5 10 9,open RET5 SIGN RET10 DELAY10 low volume NEG MUL MUL ABS DELAY10 CONST_1 amount MUL SUB,(DELAY10(ABS((DELAY10(RET10(SIGN(RET5(open)))) MUL (low MUL NEG(volume))))) SUB (CONST_1 MUL amount)),16,10,True,,0.0044789241424118996,38683,0.8917859695230191,1474015195.2613919,2337.0,0.0044789241424118996,0.005590624693396107,0.558408215661104,0.11286888838877987,3.501925545571245,train_000001_016,1,16
train_000001_017,phase3b_train,phase3a-v1,1 0 23 21 0 22 14 3 13 15 23 12 23 10 9 9,high open RET10 STD10 open RET5 SIGN close ABS DELAY1 RET10 NEG RET10 MUL SUB SUB,(high SUB (STD10(RET10(open)) SUB (SIGN(RET5(open)) MUL RET10(NEG(RET10(DELAY1(ABS(close)))))))),16,10,True,,0.0016331204418616047,39993,0.921986306106923,4.36956387379541,2337.0,0.0016331204418616047,0.0027729038726657107,0.5314505776636713,0.04115463513491244,3.501925545571245,train_000001_017,1,17
train_000001_018,phase3b_train,phase3a-v1,2 15 22 15 20 3 17 24 4 4 9 20 10 2 10 9,low DELAY1 RET5 DELAY1 MA20 close DELAY10 DECAY volume volume SUB MA20 MUL low MUL SUB,(MA20(DELAY1(RET5(DELAY1(low)))) SUB ((DECAY(DELAY10(close)) MUL MA20((volume SUB volume))) MUL low)),16,10,True,,0.004338296717389222,42883,0.9886114761279019,0.025102700948669083,2337.0,0.004338296717389222,0.0015460325755596305,0.5147625160462131,0.1093250772782084,3.501925545571245,train_000001_018,1,18
train_000001_019,phase3b_train,phase3a-v1,6 2 14 1 5 9 8 0 0 4 1 8 10 10 10 10,CONST_0 low SIGN high amount SUB ADD open open volume high ADD MUL MUL MUL MUL,(CONST_0 MUL ((SIGN(low) ADD (high SUB amount)) MUL (open MUL (open MUL (volume ADD high))))),16,10,False,constant_signal,-2.0,43377,1.0,0.0,,,,,,,,1,19
train_000001_020,phase3b_train,phase3a-v1,6 1 16 16 16 5 22 23 16 18 7 21 20 10 9 11,CONST_0 high DELAY5 DELAY5 DELAY5 amount RET5 RET10 DELAY5 MA5 CONST_1 STD10 MA20 MUL SUB DIV,(CONST_0 DIV (DELAY5(DELAY5(DELAY5(high))) SUB (MA5(DELAY5(RET10(RET5(amount)))) MUL MA20(STD10(CONST_1))))),16,10,False,constant_signal,-2.0,42881,0.9885653687438043,0.0,,,,,,,,1,20
train_000001_021,phase3b_train,phase3a-v1,2 13 24 19 18 23 23 13 7 15 14 22 17 8 15 19,low ABS DECAY MA10 MA5 RET10 RET10 ABS CONST_1 DELAY1 SIGN RET5 DELAY10 ADD DELAY1 MA10,MA10(DELAY1((ABS(RET10(RET10(MA5(MA10(DECAY(ABS(low))))))) ADD DELAY10(RET5(SIGN(DELAY1(CONST_1))))))),16,10,True,,0.006878246107346835,42502,0.9798280194573161,289633124637.70966,2337.0,0.006878246107346835,0.005485615065883631,0.558408215661104,0.17333180190514025,3.501925545571245,train_000001_021,1,21
